Track,Album Name,Artist,Release Date,All Time Rank,Spotify Streams,Spotify Popularity
Jaded,Endless Summer Vacation,Miley Cyrus,3/10/2023,1197,173349210,65.0
Bye,Bye,Peso Pluma,5/26/2023,1196,252239644,65.0
L$d,Deaf 2 Society,Luclover,4/22/2022,1199,34621941,36.0
Wolves,Wolves,Selena Gomez,10/25/2017,1200,1358424406,71.0
Scars To Your Beautiful,Know-It-All,Alessia Cara,11/13/2015,1201,1422563654,71.0
FRI(END)S,FRI(END)S,V,3/15/2024,1203,196612187,85.0
Surface Pressure,Encanto (Original Motion Picture Soundtrack),Jessica Darrow,11/19/2021,1204,318018082,65.0
Volver Al Futuro,Volver Al Futuro,Oscar Maydon,5/30/2024,1202,25593926,78.0
Praise God,Donda,Kanye West,8/29/2021,1208,451323154,67.0
Friesenjung,Friesenjung,Ski Aggu,5/25/2023,1205,150508549,70.0
El Azul,El Azul - Single,Junior H,2/10/2023,1206,684103586,76.0
EARFQUAKE,IGOR,"Tyler, The Creator",5/17/2019,1207,962546385,76.0
Ya Supï¿½ï¿½rame (En V,Ya Supï¿½ï¿½rame (En Vivo) - Si,Grupo Firme,8/13/2021,1210,347218974,57.0
if u think i'm pretty,if u think i'm pretty,Artemas,10/24/2023,1212,219995278,78.0
Fin de Semana,Fin de Semana,Oscar Maydon,1/13/2023,1211,568846143,76.0
Everybody (feat. Lil Uzi Vert),Pink Friday 2,Nicki Minaj,12/7/2023,1209,114947522,0.0
Every Breath You Take,Learned from Love,Bonnie Kimmel,5/26/2017,1215,0,0.0
My Oh My (feat. DaBaby),Romance,Camila Cabello,12/6/2019,1218,703865912,68.0
Forever After All,What You See Ain't Always What You Get (Deluxe Edition),Luke Combs,10/23/2020,1217,472886929,70.0
Fried (She a Vibe),WE DON'T TRUST YOU,Future,3/22/2024,1216,33224742,0.0
123 Song,123 Song,D Billions,10/23/2019,1214,628692,23.0
Hello (feat. A Boogie Wit da Hoodie),Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,7/20/2020,1213,578061816,67.0
Numb,Numb,Marshmello,6/10/2022,1219,401066217,69.0
Ojapiano,Ojapiano - Single,KCee,6/3/2023,1222,27444985,56.0
Area Codes,Area Codes,Kaliii,3/17/2023,1220,228240866,68.0
Medallo,Hecho En Medellï¿½,Blessd,10/27/2021,1224,452087681,65.0
Domingo Abacaxi Flamingo,Domingo Abacaxi Flamingo,Bolofofos,9/2/2020,1221,12933566,51.0
Riptide,Ministry Of Sound Presents Chillout Sessions XVI,Vance Joy,1/1/2013,1223,2541833602,80.0
Ch y la Pizza,Ch y la Pizza,Fuerza Regida,12/1/2022,1230,511421362,75.0
In Ha Mood,In Ha Mood,Ice Spice,1/6/2023,1234,190126590,63.0
POR QUï¿½ï¿½ SE,POR QUï¿½ï¿½ SE,Grupo Frontera,5/9/2024,1225,29906024,76.0
ALL MINE,WASTELAND,Brent Faiyaz,7/8/2022,1232,315014005,71.0
Let Me Know (I Wonder Why Freestyle),Sucker,Juice WRLD,7/1/2019,1231,503584339,72.0
The Night We Met,The Night We Met,Lord Huron,2/9/2015,1226,2097181065,84.0
Playa Del Inglï¿½,Playa Del Inglï¿½ï¿½s - Si,Quevedo,12/15/2022,1227,347558532,67.0
BOO!SHUT,BOO!SHUT,PIGGS,3/24/2023,1233,29649,3.0
HOLA PERDIDA REMIX,HOLA PERDIDA REMIX,Luck Ra,5/31/2024,1228,8981282,70.0
Talk,Talk,Yeat,9/2/2022,1229,242057987,67.0
Now And Then,Now And Then,The Beatles,11/2/2023,1235,66843778,0.0
Sign on the Door,Sign on the Door,Dora Lachaise,3/29/2023,1236,0,0.0
For Life (feat. Zak Abel & Nile Rodgers),For Life (feat. Zak Abel & Nile Rodgers),Kygo,4/19/2024,1240,36844307,76.0
Kya Loge Tum,Kya Loge Tum,B Praak,5/15/2023,1238,89701636,57.0
California Breeze,It's Only Me,Lil Baby,10/14/2022,1237,116994951,61.0
Nonstop,Scorpion,Drake,6/29/2018,1239,1118459427,71.0
LOVE DIVE,LOVE DIVE,IVE,4/5/2022,1243,397988770,69.0
Alucin,Alucin,Eugenio Esquivel,11/17/2023,1242,207103587,0.0
Go Stupid,Go Stupid,Polo G,2/14/2020,1241,416388749,69.0
POPSTAR (feat. Drake),POPSTAR (feat. Drake),DJ Khaled,7/17/2020,1247,712664065,63.0
Qual ï¿½ï¿½ o seu des,Qual ï¿½ï¿½ seu des,Tz da Coronel,2/29/2024,1244,71586678,73.0
Lovesick Girls,THE ALBUM,BLACKPINK,10/2/2020,1248,561712007,65.0
Solo (feat. Demi Lovato),Solo (feat. Demi Lovato),Clean Bandit,5/17/2018,1246,1042065058,64.0
Una Vida Pasada,Una Vida Pasada,Camilo,4/2/2024,1249,50955386,81.0
Steven Universe,Steven Universe,L.Dre,2/21/2020,1245,54104852,50.0
places to be,places to be,Fred again..,5/31/2024,1250,11581454,73.0
ASI ES LA VIDA,ASI ES LA VIDA,Enrique Iglesias,9/28/2023,1254,123776123,0.0
Corazï¿½,Corazï¿½,Maluma,11/3/2017,1251,598040653,64.0
Elvira,Elvira,Oscar Maydon,12/20/2023,1255,183146334,81.0
Fantasias,Fantasias,Rauw Alejandro,8/29/2019,1253,663578551,67.0
El Jefe,El Jefe,Shakira,9/20/2023,1252,122882453,0.0
Am,AM,Nio Garcia,1/28/2021,1257,361357607,57.0
Te Lo Agradezco,Te Lo Agradezco,Kany Garcï¿½,7/27/2023,1258,169162533,73.0
PLEBADA,PLEBADA,El Alfa,6/8/2023,1260,148677837,65.0
Danza Kuduro - Cover,CLUB SONG MIX 2023,MUSIC LAB JPN,11/10/2023,1261,1651606290,0.0
Marea (Weï¿½ï¿½ï¿½ve Lost Da,Marea (Weï¿½ï¿½ï¿½ve Lost Da,Fred again..,2/22/2021,1259,336943720,71.0
Fall In Love,Fall In Love,Bailey Zimmerman,2/11/2022,1262,262185115,71.0
Cupid,The Beginning: Cupid - Single,FIFTY FIFTY,2/24/2023,1256,212084990,37.0
Dj Gamm Gamm Piri Slow,Dj Gamm Gamm Piri Slow,DJ BAHBUS,9/28/2022,1265,32014,0.0
Guilty as Sin?,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,1264,165611453,78.0
Waiting For Love,Ibiza Residence 2015,Avicii,1/1/2015,1263,1397975653,74.0
BOMBï¿½,LEGENDADDY,Daddy Yankee,3/25/2022,1272,129335327,60.0
Hello,Hello,Muramatsu Karaoke,12/4/2015,1268,3531,0.0
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),KHALED KHALED,DJ Khaled,4/30/2021,1271,352955079,68.0
Mo Bamba,Mo Bamba,Sheck Wes,9/19/2017,1266,1056346890,71.0
Bank Account,Issa Album,21 Savage,7/6/2017,1267,1150653471,70.0
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Highlights (Deluxe),The Weeknd,2/5/2021,1269,939627795,87.0
Get You The Moon (feat. Snï¿½ï,Get You The Moon (feat. Snï¿½ï,Kina,10/8/2018,1270,1020435750,69.0
Never Felt So Alone,Never Felt So Alone,Labrinth,4/7/2023,1275,269669185,67.0
Baile do Bruxo,Baile do Bruxo,Tropa do Bruxo,9/29/2023,1273,155915718,0.0
Love Me JeJe,Love Me JeJe - Single,Tems,4/25/2024,1274,34621656,76.0
Heather,Kid Krow,Conan Gray,3/20/2020,1276,1675083208,80.0
Come & Go (with Marshmello),Come & Go (with Marshmello),Juice WRLD,7/9/2020,1277,959313617,71.0
Mas Rica Que Ayer,Mas Rica Que Ayer,Anuel AA,3/2/2023,1278,256112908,67.0
Love Again,Future Nostalgia,Dua Lipa,3/27/2020,1279,665464734,67.0
Bï¿½ï¿½cane - A COLORS ,Bï¿½ï¿½cane - A Colors Show - Si,Yamï¿,6/1/2023,1280,120595666,69.0
all of me,american dream,21 Savage,1/12/2024,1283,87111207,0.0
Giving Me,Giving Me,Jazzy,3/10/2023,1284,150463218,67.0
Attitude (feat. Charlie Wilson & Cash Cobain),Attitude (feat. Charlie Wilson & Cash Cobain),Don Toliver,5/22/2024,1281,14204736,0.0
What Do You Mean?,Full Circle: The Live Anthology,Justin Bieber,11/20/2011,1282,1599742798,74.0
Bailando - English Version,S** AND LOVE,Enrique Iglesias,1/1/2014,1289,218205900,50.0
ýýýýýýýýýýýý ýýýýýýýýýýýýýýýý ýýýýýýýýýý,ýýýýýýýýýýýý ýýýýýýýýýýýýýýýý ýýýýýýýýýý - Single,Jazzdauren,3/1/2024,1287,2902263,56.0
TV,Guitar Songs,Billie Eilish,7/21/2022,1285,572602278,76.0
But Daddy I Love Him,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,1286,154819909,76.0
Tiroteo - Remix,Tiroteo (Remix),Marc Seguï¿,4/1/2021,1288,654941874,75.0
pushin P (feat. Young Thug),DRIP SEASON 4EVER,Gunna,1/7/2022,1291,368155242,65.0
Take Me to Church,Take Me To Church,Hozier,9/16/2013,1293,2544489950,78.0
It's You,It's You,Ali Gatie,6/14/2019,1292,1123039235,72.0
Love Lee,Love Lee,AKMU,8/21/2023,1294,72468277,65.0
Jump,TYLA,Tyla,3/1/2024,1295,95341415,77.0
Venom - Music From The Motion Picture,Kamikaze,Eminem,8/31/2018,1290,788282679,68.0
fantasmas,fantasmas - Single,Humbe,11/20/2023,1296,88072335,0.0
Basit Numaralar,Basit Numaralar,Zerrin ï¿½ï¿,8/4/2023,1299,57370965,58.0
Karma,Midnights,Taylor Swift,10/21/2022,1297,777305444,75.0
The Painter,The Painter - Single,Cody Johnson,8/11/2023,1298,107754524,66.0
Chiky Boom,Chiky Boom,Paylon,11/18/2022,1300,41254,1.0
Me & U,Me & U,Tems,10/5/2023,1306,100830964,0.0
Vista Al Mar,Vista Al Mar,Quevedo,9/9/2022,1303,511726944,68.0
Imagine,Imagine,Carbonne,5/3/2024,1301,35864342,77.0
All The Stars (with SZA),All The Stars (with SZA),Kendrick Lamar,1/4/2018,1304,1638529683,82.0
Lehanga,Lehanga,Jass Manak,7/25/2019,1305,41063045,0.0
X (feat. Future),Savage Mode,21 Savage,7/15/2016,1302,581220786,65.0
CRAZYZ,Pa las Baby's Y Belikeada,Fuerza Regida,10/20/2023,1314,202633616,78.0
Passionfruit,More Life,Drake,3/18/2017,1309,1625307365,77.0
Like Crazy,FACE,Jimin,3/24/2023,1308,1165398518,84.0
I Donï¿½ï¿½ï¿½t Wanna Live Forever (Fifty Shades D,I Donï¿½ï¿½ï¿½t Wanna Live Forever (Fifty Shades D,ZAYN,12/9/2016,1312,1662288901,75.0
What It Is (Solo Version),What It Is (Versions),Doechii,3/17/2023,1311,308738277,70.0
Bad and Boujee (feat. Lil Uzi Vert),Bad and Boujee,Migos,10/28/2016,1307,936450891,66.0
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),SUBEME LA RADIO,Enrique Iglesias,2/24/2017,1313,706158416,65.0
Soak City (Do it),Soak City (Do it),310babii,6/3/2023,1310,128855739,65.0
The Woo (feat. 50 Cent & Roddy Ricch),Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,1319,560691819,65.0
"yes, and?","yes, and?",Ariana Grande,1/12/2024,1320,416813996,0.0
Cheerleader - Felix Jaehn Remix Radio Edit,Cheerleader (Felix Jaehn Remix) (Radio Edit),OMI,5/20/2014,1318,1663491433,52.0
Woah (feat. D3Mstreet),Woah,KRYPTO9095,3/29/2019,1315,92985109,45.0
Take You Dancing,Nu King,Jason Derulo,2/16/2024,1317,0,0.0
Wrecking Ball,538 Hitzone Best Of 2013,Miley Cyrus,1/1/2013,1316,930004605,73.0
Stereo Love (TikTok Remix),Stereo Love (TikTok Remix) - Single,DJRemixGod,4/30/2024,1322,348676476,0.0
Stuck with U (with Justin Bieber),Stuck with U,Ariana Grande,5/8/2020,1321,1120501187,73.0
she's all i wanna be,she's all i wanna be,Tate McRae,2/4/2022,1324,452628341,71.0
Oh My God,30,Adele,11/19/2021,1327,562200390,68.0
Leave Out All The Rest,Papercuts,Linkin Park,4/12/2024,1329,270590102,0.0
iSpy (feat. Lil Yachty),iSpy (feat. Lil Yachty),KYLE,12/2/2016,1325,960430911,64.0
I AM,I've IVE,IVE,4/10/2023,1326,269067890,71.0
Midnight Sky,Midnight Sky,Miley Cyrus,8/14/2020,1323,629372240,66.0
"Earth, Wind & Fire",HOW?,BOYNEXTDOOR,4/15/2024,1328,15434400,0.0
Andrea,Un Verano Sin Ti,Bad Bunny,5/6/2022,1335,432885913,71.0
Ric Flair Drip (with Metro Boomin),Without Warning,Offset,10/30/2017,1338,1506766477,80.0
Dï¿½ï¿½,Dï¿½ï¿½,Teya Dora,3/22/2023,1332,125289731,65.0
Going Bad (feat. Drake),Championships,Meek Mill,11/30/2018,1330,1189579197,73.0
Tenho Que Me Decidir,O Cara Do Momento,MC PH,11/29/2023,1334,111408880,0.0
Wunder,Wunder,AYLIVA,4/26/2024,1336,47364546,77.0
Safaera,YHLQMDLG,Bad Bunny,2/29/2020,1331,868744690,70.0
Baby,R&B Collection 2011,Justin Bieber,1/1/2010,1337,952635214,76.0
On BS,Her Loss,Drake,11/4/2022,1333,253540951,67.0
Marlboro Remix,Marlboro Remix - Single,Unknown,6/7/2024,1343,0,0.0
Love Again,Love Again,The Kid LAROI,1/27/2023,1342,215466975,62.0
LAGUNAS,LAGUNAS,Peso Pluma,6/22/2023,1339,301396080,74.0
Narcotics (with Bryant Myers),Narcotics (with Bryant Myers),Dei V,9/14/2023,1344,154018930,73.0
Linea del Perreo (feat. Dj Kiire),Linea del Perreo (feat. Dj Kiire) - Single,Uzielito Mix,12/12/2023,1341,99086405,0.0
24K Magic,24K Magic,Bruno Mars,10/7/2016,1340,1425996809,77.0
The Feels,The Feels,TWICE,10/1/2021,1346,431638330,66.0
Someone Like You,21' Sampler,Adele,1/18/2011,1345,1925879064,75.0
Oh U Went (feat. Drake),BUSINESS IS BUSINESS,Young Thug,6/23/2023,1347,112624663,64.0
Right Now (Feat. Crush),Right Now,Coogie,9/12/2023,1348,8163960,0.0
Burn,VULTURES 1,Kanye West,2/9/2024,1349,147150985,0.0
High Fashion (feat. Mustard),Please Excuse Me For Being Antisocial,Roddy Ricch,12/6/2019,1351,538059363,65.0
Ronald,Ronald,Falling In Reverse,5/7/2024,1357,17589316,72.0
We Paid (feat. 42 Dugg),My Turn (Deluxe),Lil Baby,2/28/2020,1353,417634388,68.0
Boss Bitch,Boss Bitch,Doja Cat,1/23/2020,1352,878349171,70.0
Ballena,Ballena,Vulgo FK,7/13/2023,1354,174583156,66.0
one of wun,One of Wun,Gunna,5/10/2024,1356,0,0.0
Locked Away (feat. Adam Levine),Locked Away,R. City,6/29/2015,1355,990518773,75.0
Tal Vez,Tal Vez,Paulo Londra,4/3/2019,1350,751585271,67.0
the remedy for a broken heart (why am I so in love),?,XXXTENTACION,3/16/2018,1359,959078765,69.0
Beautiful Mistakes (feat. Megan Thee Stallion),Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,3/3/2021,1362,730200775,71.0
Cynical,Cynical,twocolors,6/30/2023,1363,112737954,41.0
These Words,These Words,Badger,4/5/2024,1360,57562320,78.0
Robarte un Beso,Robarte un Beso,Carlos Vives,7/28/2017,1361,658225560,72.0
Vida Gangster,Vida Gangster,Lauty Gram,12/8/2022,1358,105604106,56.0
For My Hand (feat. Ed Sheeran),"Love, Damini",Burna Boy,7/1/2022,1366,264048274,65.0
Cowgirls (feat. ERNEST),One Thing At A Time,Morgan Wallen,3/3/2023,1371,266560481,81.0
'Til You Can't,'Til You Canï¿½ï¿½ï¿½t / Longer Than S,Cody Johnson,6/11/2021,1364,258769609,68.0
Those Oldies but Goodies,Little Caesar and The Romans: The Extended Play Collection,Little Caesar & the Romans,7/22/2014,1368,0,0.0
Dark Horse,The Top Music of the World,Katy Perry,11/27/2013,1369,0,0.0
Hass Hass,Hass Hass - Single,Diljit Dosanjh,10/27/2023,1370,106514756,70.0
You Got It,You Got It,Vedo,3/6/2020,1367,378584974,64.0
LDR,LDR,Shoti,8/27/2022,1365,37027643,57.0
"Kaavaalaa (From ""Jailer"")","Kaavaalaa (From ""Jailer"")",Shilpa Rao,7/6/2023,1373,94518210,61.0
Me or Sum (feat. Future & Lil Baby),Me or Sum (feat. Future & Lil Baby) - Single,Nardo Wick,11/29/2021,1374,169074195,59.0
You're Welcome,Moana (Original Motion Picture Soundtrack/Deluxe Edition),Dwayne Johnson,11/18/2016,1372,551115166,66.0
LA NOCHE DE ANOCHE,EL ï¿½ï¿½LTIMO TOUR DEL M,Bad Bunny,11/27/2020,1376,990189999,71.0
Fuk Sumn,VULTURES 1,Kanye West,2/9/2024,1375,120079689,0.0
Billete Grande (En Vivo),Billete Grande (En Vivo),Fuerza Regida,8/2/2022,1377,309329645,68.0
Royals,The Love Club EP,Lorde,1/1/2012,1386,1232502989,73.0
Charm,Charm (Sped Up),Rema,4/26/2023,1387,111124873,65.0
prove it,prove it,21 Savage,1/10/2024,1388,88224186,0.0
Mon Amour - Remix,Mon Amour (Remix),zzoilo,8/18/2021,1381,689939531,72.0
Adan y Eva,Adan y Eva,Paulo Londra,11/5/2018,1383,915772593,70.0
No Lie,Dua Lipa (Complete Edition),Sean Paul,1/1/2015,1384,1162659862,76.0
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Sachin-Jigar,5/16/2023,1379,226109929,66.0
10 Carros,10 Carros,Chefin,11/23/2023,1380,92949075,0.0
The Astronaut,The Astronaut,JIN,10/28/2022,1382,422186660,79.0
Gogo Dance,SABIDURIA,El Alfa,4/7/2022,1385,122568157,64.0
Komang,Komang,Raim Laode,8/17/2022,1378,329763216,70.0
The Spectre,The Spectre,Alan Walker,9/15/2017,1395,428110164,67.0
ýýýýýýýýýýýýýýýýýý (feat. ýýýýýýýýý ýýýýýýýýýýýýýýý & GUNNER),ýýýýýýýýýýýýýýýýýý (feat. ýýýýýýýýý ýýýýýýýýýýýýýýý & GUNNER) - Single,Juepak,4/6/2024,1393,4399533,0.0
DARARI,THE SECOND STEP : CHAPTER ONE,TREASURE,2/15/2022,1396,224285122,63.0
Ferxxo 100,Ferxxo 100,Feid,6/3/2022,1392,444613276,73.0
No Te Quieren Conmigo,No Te Quieren Conmigo,Gaby Music,12/15/2023,1394,138904532,0.0
More than you know,More than you know,NoSpace,7/25/2022,1397,2030,2.0
Shower,Crave Vol. 9 (Mixed By DJ Havana Brown),Becky G,1/1/2014,1390,809840469,73.0
B.O.T.A. (Baddest Of Them All) - Edit,B.O.T.A. (Baddest Of Them All) / Move To The,Eliza Rose,6/15/2022,1389,325902688,70.0
Chatak Matak,Chatak Matak,Renuka Panwar,12/19/2020,1391,24806000,54.0
Cooped Up (with Roddy Ricch),Cooped Up,Post Malone,5/12/2022,1401,327011836,62.0
FRIENDS,Speak Your Mind,Marshmello,1/1/2015,1399,1436709386,70.0
FINA,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,1398,226576178,78.0
Come back to me,Come back to me,RM,5/10/2024,1400,44991905,84.0
Whatsapp (Wassam),Whatsapp (Wassam),Gunna,5/3/2024,1404,20011325,0.0
3:15 (Breathe),3:15 (Breathe),Russ,5/21/2021,1406,303510160,72.0
Love Me Again,Layover,V,8/11/2023,1402,626153696,82.0
Down Under (feat. Colin Hay),Down Under,Luude,11/19/2021,1403,315606874,60.0
Like That (feat. Gucci Mane),Hot Pink,Doja Cat,11/7/2019,1405,510302007,66.0
Control,Control,Zoe Wees,3/13/2020,1407,457848626,66.0
Push Up - Original Mix,Push Up - Single,Creeds,12/21/2022,1409,83801298,58.0
Novo Balanï¿½,Dos Prï¿½ï¿½dios De,Veigh,5/19/2023,1408,258439807,69.0
Dancin (feat. Luvli) - Krono Remix,Dancin (Krono Remix),Aaron Smith,11/7/2014,1411,856908437,71.0
Goosebumps - Remix,Goosebumps (Remix),Travis Scott,1/15/2021,1410,767502068,70.0
Die For You,SMITHEREENS,Joji,11/4/2022,1412,363300065,71.0
SC-9,SC-9,Yahir Saldivar,2/1/2024,1415,63296147,64.0
We Are Young (feat. Janelle Monï¿½ï¿½e) - feat. Janelle M,We Are Young (feat. Janelle Monï¿½ï,fun.,9/20/2011,1414,1143172586,72.0
My Head & My Heart,Heaven & Hell,Ava Max,9/18/2020,1413,518293446,69.0
Accendio,IVE SWITCH,IVE,4/29/2024,1418,12367963,72.0
Deep End,Deep End,Fousheï¿,7/31/2020,1417,277505000,56.0
Loosing interest,Missing,Kurochuu,6/9/2024,1419,43492280,4.0
Turbo S,PISTOLER POESI OCH SEX,Yasin,2/28/2023,1416,2109876,33.0
30 GRADOS RKT,30 GRADOS RKT,RUNE,6/8/2024,1422,50652672,0.0
Mi Bello Angel,Nata Montana,Natanael Cano,6/30/2023,1421,349522530,76.0
Turks & Caicos (feat. 21 Savage),Nostalgia,Rod Wave,9/15/2023,1420,79871904,0.0
Si Veo a Tu Mamï¿,YHLQMDLG,Bad Bunny,2/29/2020,1423,817199682,70.0
1-800-273-8255,1-800-273-8255,Logic,4/28/2017,1427,1332154389,67.0
After Hours,After Hours,The Weeknd,2/19/2020,1424,942637026,75.0
Alibi (feat. Rudimental),Alibi (feat. Rudimental) - Single,Ella Henderson,1/12/2024,1426,78096380,0.0
Everybody (feat. Lil Uzi Vert),Pink Friday 2,Nicki Minaj,12/8/2023,1425,114947522,0.0
I LUV IT (feat. Playboi Carti),I LUV IT (feat. Playboi Carti),Camila Cabello,3/27/2024,1428,78537688,0.0
The Middle,The Middle,Zedd,1/23/2018,1432,1503269550,72.0
Doctor (Work It Out) [feat. Miley Cyrus],Doctor (Work It Out) - Single,Pharrell Williams,3/1/2024,1435,40447209,0.0
Pompeii,Bad Blood (The Extended Cut),Bastille,1/1/2013,1434,1590278292,71.0
Hymn For The Weekend - Seeb Remix,A Head Full Of Dreams,Coldplay,12/4/2015,1429,652636187,62.0
Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber,10/16/2020,1431,820172575,66.0
Hold On,Hold On,Justin Bieber,3/5/2021,1433,749776475,65.0
Can't Hold Us - feat. Ray Dalton,The Heist,Macklemore & Ryan Lewis,10/9/2012,1430,2397109372,74.0
I Like It,Invasion of Privacy,Cardi B,4/6/2018,1439,1624314065,72.0
8 Parche,8 Parche,Baani Sandhu,9/12/2019,1436,96829196,58.0
Modo DND,Modo DND,Xavi,10/28/2023,1437,186482379,0.0
THANK GOD,UTOPIA,Travis Scott,7/28/2023,1440,159483318,68.0
Home,Home,Edith Whiskers,10/16/2020,1441,382143321,65.0
The London (feat. J. Cole & Travis Scott),The London (feat. J. Cole & Travis Scott),Young Thug,5/23/2019,1438,729825680,62.0
Si Te Pudiera Mentir,Simplemente Gracias,Calibre 50,8/16/2019,1444,497062969,69.0
One Of Your Girls,Something To Give Each Other,Troye Sivan,10/13/2023,1443,222373201,0.0
Tell Em,Tell Em,Cochise,5/28/2021,1442,499262863,70.0
Close Eyes,Close Eyes,DVRST,2/1/2021,1448,495840131,70.0
Mr Pot Scraper,Mr Pot Scraper - Single,Bossman Dlow,2/23/2024,1446,19565712,0.0
LA DURANGO,LA DURANGO,Peso Pluma,5/9/2024,1447,42032763,79.0
Please Me,Please Me,Cardi B,2/15/2019,1449,551035247,70.0
El Hijo Mayor,El Hijo Mayor - Single,Junior H,5/20/2022,1450,357445095,71.0
"Ruqya, Pt. 3",Ruqya (Quran - Coran - Islam),Hani Rifai,6/9/2014,1445,0,0.0
LA FAMA,LA FAMA (feat. The Weeknd) - Single,ROSALï¿½,11/11/2021,1453,459476092,69.0
TIL FURTHER NOTICE,UTOPIA,Travis Scott,7/28/2023,1451,133152051,71.0
"Poblado (feat. Crissin, Totoy El Frio & Natan & Shander) [Remix]",Poblado (Remix),J Balvin,6/18/2021,1454,347951927,61.0
LOKERA,LOKERA,Rauw Alejandro,7/25/2022,1452,656416971,75.0
cardigan,folklore,Taylor Swift,7/24/2020,1458,1307283069,80.0
See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator",7/21/2017,1456,1610423351,84.0
Namas Today - Original Version,Mountains of Gods,CA3RD,9/26/2022,1460,0,0.0
Amanece,Amanece,Anuel AA,12/14/2018,1457,784096553,77.0
Popular,Popular,The Weeknd,2/22/2024,1459,811545581,0.0
King Shit,Leo,Shubh,1/5/2024,1455,84030576,71.0
LA INOCENTE,Microdosis,Mora,4/1/2022,1461,736983718,76.0
Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake,5/1/2020,1462,763384135,72.0
Johnny Dang (with Paul Wall & DRODi),Johnny Dang (with Paul Wall & DRODi),That Mexican OT,5/26/2023,1466,128049237,68.0
S-Class,5-STAR,Stray Kids,6/2/2023,1465,207857363,70.0
GASLIGHT,GASLIGHT,INJI,4/14/2022,1463,17756452,48.0
Die Young (feat. 347aidan),Die Young (feat. 347aidan),Sleepy Hallow,5/25/2022,1464,245406516,60.0
Vente Pa' Ca,Vente Pa' Ca,Ricky Martin,9/22/2016,1467,613961293,66.0
Can't Tame Her,Can't Tame Her,Zara Larsson,1/26/2023,1473,159051363,62.0
VIBEZ,KIRK,DaBaby,9/27/2019,1470,432315500,59.0
I Don't Fuck With You,I Don't Fuck With You,Big Sean,9/19/2014,1475,781790448,67.0
Se Grita,Reinsertado,Morad,5/12/2023,1474,142131977,69.0
HYAENA,UTOPIA,Travis Scott,7/28/2023,1468,137071285,68.0
KICK BACK,KICK BACK,Kenshi Yonezu,10/12/2022,1469,360816226,70.0
M.A.I,111,Milo j,11/30/2023,1471,163958167,76.0
Tu hai kahan,Tu hai kahan,AUR,6/10/2023,1472,218471293,72.0
Danza Kuduro - Cover,WORK OUT MUSIC MIX,WORK OUT GYM - DJ MIX,10/20/2023,1478,1642258500,0.0
Truth or Dare,TYLA,Tyla,12/1/2023,1480,91143676,77.0
Just the Way You Are,Just The Way You Are,Bruno Mars,7/20/2010,1477,2099862852,79.0
Rasputin,Rasputin,Majestic,2/26/2021,1481,613000788,73.0
Say It Right (Dance),"This Is MELON, Vol. 1 (Dance)",MELON,2/24/2023,1479,3119521,30.0
If the World Was Ending - feat. Julia Michaels,If the World Was Ending (feat. Julia Michaels),JP Saxe,10/17/2019,1483,1145402792,69.0
"How Far I'll Go - From ""Moana""","How Far I'll Go (From ""Moana"")",Alessia Cara,10/28/2016,1476,740261910,58.0
ýýýýýýýýýýýý,Bibbidiba - Single,Hoshimachi Suisei,3/23/2024,1482,21255074,70.0
Heartless,Heartless,The Weeknd,11/27/2019,1486,975754682,73.0
Upa Cavalinho,"Galinha Pintadinha, Vol. 4",Galinha Pintadinha,7/1/2014,1485,13615330,49.0
Show Time,Show Time,SUPER JUNIOR,6/11/2024,1491,0,39.0
Mirrors,Songs For The Philippines,Justin Timberlake,1/1/2013,1487,1047154254,74.0
we fell in love in october,we fell in love in october / October Passed Me By,girl in red,1/1/2018,1490,1034272727,77.0
Sorry Not Sorry,Sorry Not Sorry,Demi Lovato,7/11/2017,1489,1156601592,67.0
X ESO BB,X ESO BB,Jere Klein,8/10/2023,1484,124155654,66.0
Where Did You Go? (feat. MNEK),Where Did You Go?,Jax Jones,1/26/2022,1488,389547230,70.0
The Lazy Song,Doo-Wops & Hooligans,Bruno Mars,10/5/2010,1496,950810060,72.0
Sex Sounds,True 2 Myself,Lil Tjay,10/11/2019,1495,413974601,69.0
Despuï¿½ï¿½s de la P,Un Verano Sin Ti,Bad Bunny,5/6/2022,1493,542751537,71.0
Asiwaju,Asiwaju,Ruger,11/14/2022,1498,108133711,18.0
Sticky,"Honestly, Nevermind",Drake,6/17/2022,1492,253177498,66.0
